Dial,ISO3166-1-Alpha-3,ISO3166-1-Alpha-2,Capital,Continent,Languages
685,WSM,WS,Apia,OC,"sm,en-WS"
378,SMR,SM,San Marino,EU,it-SM
239,STP,ST,Sao Tome,AF,pt-ST
966,SAU,SA,Riyadh,AS,ar-SA
221,SEN,SN,Dakar,AF,"fr-SN,wo,fuc,mnk"
381,SRB,RS,Belgrade,EU,"sr,hu,bs,rom"
248,SYC,SC,Victoria,AF,"en-SC,fr-SC"
232,SLE,SL,Freetown,AF,"en-SL,men,tem"
65,SGP,SG,Singapore,AS,"cmn,en-SG,ms-SG,ta-SG,zh-SG"
1-721,SXM,SX,Philipsburg,NA,"nl,en"
421,SVK,SK,Bratislava,EU,"sk,hu"
386,SVN,SI,Ljubljana,EU,"sl,sh"
677,SLB,SB,Honiara,OC,"en-SB,tpi"
252,SOM,SO,Mogadishu,AF,"so-SO,ar-SO,it,en-SO"
27,ZAF,ZA,Pretoria,AF,"zu,xh,af,nso,en-ZA,tn,st,ts,ss,ve,nr"
500,SGS,GS,Grytviken,AN,en
211,SSD,SS,Juba,AF,en
34,ESP,ES,Madrid,EU,"es-ES,ca,gl,eu,oc"
94,LKA,LK,Colombo,AS,"si,ta,en"
970,PSE,PS,East Jerusalem,AS,ar-PS
249,SDN,SD,Khartoum,AF,"ar-SD,en,fia"
597,SUR,SR,Paramaribo,SA,"nl-SR,en,srn,hns,jv"
47,SJM,SJ,Longyearbyen,EU,"no,ru"
46,SWE,SE,Stockholm,EU,"sv-SE,se,sma,fi-SE"
41,CHE,CH,Bern,EU,"de-CH,fr-CH,it-CH,rm"
963,SYR,SY,Damascus,AS,"ar-SY,ku,hy,arc,fr,en"
992,TJK,TJ,Dushanbe,AS,"tg,ru"
66,THA,TH,Bangkok,AS,"th,en"
389,MKD,MK,Skopje,EU,"mk,sq,tr,rmm,sr"
670,TLS,TL,Dili,OC,"tet,pt-TL,id,en"
228,TGO,TG,Lome,AF,"fr-TG,ee,hna,kbp,dag,ha"
690,TKL,TK,,OC,"tkl,en-TK"
676,TON,TO,Nuku'alofa,OC,"to,en-TO"
1-868,TTO,TT,Port of Spain,NA,"en-TT,hns,fr,es,zh"
216,TUN,TN,Tunis,AF,"ar-TN,fr"
90,TUR,TR,Ankara,AS,"tr-TR,ku,diq,az,av"
993,TKM,TM,Ashgabat,AS,"tk,ru,uz"
1-649,TCA,TC,Cockburn Town,NA,en-TC
688,TUV,TV,Funafuti,OC,"tvl,en,sm,gil"
256,UGA,UG,Kampala,AF,"en-UG,lg,sw,ar"
380,UKR,UA,Kyiv,EU,"uk,ru-UA,rom,pl,hu"
971,ARE,AE,Abu Dhabi,AS,"ar-AE,fa,en,hi,ur"
44,GBR,GB,London,EU,"en-GB,cy-GB,gd"
255,TZA,TZ,Dodoma,AF,"sw-TZ,en,ar"
1,UMI,UM,,OC,en-UM
1-340,VIR,VI,Charlotte Amalie,NA,en-VI
1,USA,US,Washington,NA,"en-US,es-US,haw,fr"
598,URY,UY,Montevideo,SA,es-UY
998,UZB,UZ,Tashkent,AS,"uz,ru,tg"
678,VUT,VU,Port Vila,OC,"bi,en-VU,fr-VU"
58,VEN,VE,Caracas,SA,es-VE
84,VNM,VN,Hanoi,AS,"vi,en,fr,zh,km"
681,WLF,WF,Mata Utu,OC,"wls,fud,fr-WF"
212,ESH,EH,El-Aaiun,AF,"ar,mey"
967,YEM,YE,Sanaa,AS,ar-YE
260,ZMB,ZM,Lusaka,AF,"en-ZM,bem,loz,lun,lue,ny,toi"
263,ZWE,ZW,Harare,AF,"en-ZW,sn,nr,nd"
358,ALA,AX,Mariehamn,EU,sv-AX
383,XXK,XK,Pristina,EU,"bs,tr,ro"
252,XXS,XS,Hargeisa,AF,"so,ar"
